Name,URL,Type,Category,ChangeText
Berks County,https://www.berkspa.gov/departments/election-services,county,Closures & Emergencies,Department of Emergency Services (DES)
Berks County,https://www.berkspa.gov/departments/election-services,county,Registration & Deadlines,Penn State Cooperative Extension
Berks County,https://www.berkspa.gov/departments/election-services,county,Registration & Deadlines,Register to Vote
Berks County,https://www.berkspa.gov/departments/election-services,county,Registration & Deadlines,"Voters may still request an absentee or mail-in ballot for the upcoming November 3 election.  The deadline to apply for a ballot is  Tuesday, October 27."
Berks County,https://www.berkspa.gov/departments/election-services,county,Registration & Deadlines,Update your Voter Registration
Berks County,https://www.berkspa.gov/departments/election-services,county,Registration & Deadlines,The deadline for voters to update their voter registration information for the upcoming November 3 election is October 19.
Berks County,https://www.berkspa.gov/departments/election-services,county,Mail & Drop Box Voting,Where are Flag Drop Boxes?
Berks County,https://www.berkspa.gov/departments/election-services,county,Mail & Drop Box Voting,"Voters may still request an absentee or mail-in ballot for the upcoming November 3 election.  The deadline to apply for a ballot is  Tuesday, October 27."
Crawford County,https://www.crawfordcountypa.net/VoterServices/Pages/home.aspx,county,Closures & Emergencies,"The Voter Services Office will be closed Tuesday, August 4th, Wednesday, August 5th, and Thursday, August 6th. We will resume normal office hours on Friday, August 7th"
Tioga County,https://www.tiogacountypa.us/departments/voter-registration,county,Ballot Curing & Provisional Ballots,"The Tioga County return board will meet in the Election Conference room, 118 Main Street, Wellsboro, PA 16901, Friday, November 6th, 2026, at 8:30 A.M. for the purpose of determining the status of Provisional ballots that were cast by certain electors in the General Election held on November 4th, 2026. The return board will commence and hold its sessions for the computation and confirmation of returns for the votes cast at the General Election held on November 4th, 2026."
Tioga County,https://www.tiogacountypa.us/departments/voter-registration,county,Mail & Drop Box Voting,"The Tioga County return board will meet in the Election Conference room, 118 Main Street, Wellsboro, PA 16901, Tuesday, November 4th, 2026, at 7:00 A.M. for the purpose of scanning Absentee/Mail-In ballots that were cast by certain electors in the General Election held on November 4th, 2026."
Warren County,https://warrencountypa.gov/1192/Elections-Voter-Registration,county,Registration & Deadlines,"Last day to register to vote prior to Nov. 3, 2026 General Election is Monday, October 19, 2026."
Warren County,https://warrencountypa.gov/1192/Elections-Voter-Registration,county,Registration & Deadlines,"Last day to request a mail-in or absentee ballot is Tuesday, October 27, 2026."
Warren County,https://warrencountypa.gov/1192/Elections-Voter-Registration,county,Mail & Drop Box Voting,"Last day to request a mail-in or absentee ballot is Tuesday, October 27, 2026."
Warren County,https://warrencountypa.gov/1192/Elections-Voter-Registration,county,Mail & Drop Box Voting,"Pre-canvass of the Absentee and Mail-In ballots for the 2026 General  Election will begin Tuesday November 3, 2026 in the Commissioner's Conference Room."
