Name,URL,Type,Category,ChangeText
Armstrong County,https://www.co.armstrong.pa.us/index.php/resourses-m/election-results-unofficial-m,county,Polling Place Changes,Polling Places
Armstrong County,https://www.co.armstrong.pa.us/index.php/resourses-m/election-results-unofficial-m,county,Polling Place Changes,Polling Places
Armstrong County,https://www.co.armstrong.pa.us/index.php/resourses-m/election-results-unofficial-m,county,Closures & Emergencies,Closed
Armstrong County,https://www.co.armstrong.pa.us/index.php/resourses-m/election-results-unofficial-m,county,Legal Action & Election Integrity,Jail Audits
Armstrong County,https://www.co.armstrong.pa.us/index.php/resourses-m/election-results-unofficial-m,county,Legal Action & Election Integrity,Jail Audits
Armstrong County,https://www.co.armstrong.pa.us/index.php/resourses-m/election-results-unofficial-m,county,Public Hearings & Meetings,County Meeting Agendas and Minutes
Armstrong County,https://www.co.armstrong.pa.us/index.php/resourses-m/election-results-unofficial-m,county,Public Hearings & Meetings,Public Prison Board Meeting Agendas and Minutes
Armstrong County,https://www.co.armstrong.pa.us/index.php/resourses-m/election-results-unofficial-m,county,Public Hearings & Meetings,County Meeting Agendas and Minutes
Armstrong County,https://www.co.armstrong.pa.us/index.php/resourses-m/election-results-unofficial-m,county,Public Hearings & Meetings,Public Prison Board Meeting Agendas and Minutes
Columbia County,http://www.columbiapa.org/voter/,county,Registration & Deadlines,Columbia County Voter Registration/Elections
Columbia County,http://www.columbiapa.org/voter/,county,Registration & Deadlines,Voter Registrations/Elections
Columbia County,http://www.columbiapa.org/voter/,county,Registration & Deadlines,Who can register to vote?
Columbia County,http://www.columbiapa.org/voter/,county,Registration & Deadlines,You may register to vote if:
Columbia County,http://www.columbiapa.org/voter/,county,Registration & Deadlines,Where do I register to vote?
Columbia County,http://www.columbiapa.org/voter/,county,Mail & Drop Box Voting,2026 General Primary Election Absentee/Mail-In Ballots Summary
Columbia County,http://www.columbiapa.org/voter/,county,Mail & Drop Box Voting,Federal Write-In Absentee Ballot
Columbia County,http://www.columbiapa.org/voter/,county,Mail & Drop Box Voting,Return your absentee ballot to:
Columbia County,http://www.columbiapa.org/voter/,county,Legal Action & Election Integrity,Auditors
Northampton County,https://www.norcopa.gov/election-voting,county,Polling Place Changes,"Paid $200, plus $50 for attending training session, plus mileage for return of election supplies (measured from the polling place to the drop-off zone)."
Northampton County,https://www.norcopa.gov/election-voting,county,Polling Place Changes,Contact the polling place prior to Election Day to secure entry on Election Day and ensures tables/chairs are set up.
Northampton County,https://www.norcopa.gov/election-voting,county,Polling Place Changes,"Perform duties as assigned by Judge of Election. In large precincts, this may include maintaining the Numbered List of Voters, one of the alphabetical groupings of the Poll Books or checking the names of voters arriving at the polls to ensure the voter is at the correct polling place."
Northampton County,https://www.norcopa.gov/election-voting,county,Polling Place Changes,"Verify voter is in the correct election district. If not, either notify the Judge or assist them in identifying the proper polling place."
Northampton County,https://www.norcopa.gov/election-voting,county,Polling Place Changes,"Perform duties as assigned by Judge of Election. In large precincts, this work generally will be to ensure voters with ballots reach a privacy screen/booth, take their marked ballot to a scanner and then leave the polling place."
Northampton County,https://www.norcopa.gov/election-voting,county,Closures & Emergencies,CANCEL MY VOTER REGISTRATION IN PENNSYLVANIA
Northampton County,https://www.norcopa.gov/election-voting,county,Closures & Emergencies,Sign Up for emergency alerts
Northampton County,https://www.norcopa.gov/election-voting,county,Closures & Emergencies,Emergency Management
Northampton County,https://www.norcopa.gov/election-voting,county,Registration & Deadlines,CANCEL MY VOTER REGISTRATION IN PENNSYLVANIA
Northampton County,https://www.norcopa.gov/election-voting,county,Registration & Deadlines,"IF INTERESTED, PLEASE SUBMIT THE FOLLOWING FORM [DEADLINE TO SUBMIT APPLICATION IS FRIDAY, October 2, 2026]:"
Northampton County,https://www.norcopa.gov/election-voting,county,Registration & Deadlines,Register to Vote
Northampton County,https://www.norcopa.gov/election-voting,county,Mail & Drop Box Voting,"IN ACCORDANCE WITH ACT 88'S REPORTING REQUIREMENTS, NORTHAMPTON COUNTY RECEIVED A TOTAL OF 21,596 MAIL-IN BALLOTS BY 8PM ON ELECTION DAY"
Northampton County,https://www.norcopa.gov/election-voting,county,Mail & Drop Box Voting,Drop Box Locations/Hours
Westmoreland County,http://www.westmorelandcountypa.gov,county,Public Hearings & Meetings,Notice of Consideration of Proposed County Ordinance and Public Hearing
